gene,log2FoldChange
SMU_1723c,-2.515122318
SMU_1724c,-3.054752338
SMU_1725,-2.586272256
SMU_1727,-1.610957709
SMU_1728,-6.727920455
SMU_1729c,-5.648689344
SMU_173,-1.904512286
SMU_1730c,-2.717082828
SMU_1731,-2.352516415
SMU_1732c,-2.498345436
SMU_1733c,-1.87368355
SMU_1734,
SMU_1735,-0.584962501
SMU_1736,-1.222392421
SMU_1737,
SMU_1738,
SMU_1739,-4.820178962
SMU_1740,-4.321928095
SMU_1741,-9.768184325
SMU_1742c,-1.415037499
SMU_1743,
SMU_1744,-6.95419631
SMU_1745c,-6.224001674
SMU_1746c,-9.880348808
SMU_1747c,-2.090946211
SMU_1748,-1.137503524
SMU_174c,-1.832707622
SMU_175,-3.047753131
SMU_1750c,-2.783832199
SMU_1752c,-1.982570194
SMU_1753c,-3.528144369
SMU_1754c,-1.871055879
SMU_1755c,-1.519755371
SMU_1757c,-2.546540237
SMU_1758c,-2.147021294
SMU_176,-2.511109065
SMU_1760c,-1.576211068
SMU_1761c,-3.016738483
SMU_1762c,-3.791249798
SMU_1763c,-2.223706761
SMU_1764c,-2.71050464
SMU_1765c,-3.000630411
SMU_1766c,-2.87731748
SMU_1767c,-1.153051183
SMU_1768c,-1.793776516
SMU_177,-1.921624314
SMU_1770,-4.183221824
SMU_1771c,-3.105050335
SMU_1772c,-2.392131903
SMU_1773c,-3.074946094
SMU_1774c,-1.349485507
SMU_1775c,-2.993996267
SMU_1776c,-2.243470976
SMU_1777,-3.120093845
SMU_1779c,-2.724457615
SMU_178,-1.173390521
SMU_1780,-3.0179569
SMU_1781,-6.21141673
SMU_1782,-1.995368551
SMU_1783,-1.321928095
SMU_1784c,-2.220887262
SMU_1785,-0.192645078
SMU_1786,-1.780218792
SMU_1787c,-1.902843763
SMU_1788c,-3.431474389
SMU_1789c,-3.538915133
SMU_179,-1.264559569
SMU_1790c,-3.070925945
SMU_1791c,-3.019599177
SMU_1792c,-3.311261767
SMU_1794c,-2.829673301
SMU_1795c,-2.736247332
SMU_1797c,-3.317593505
SMU_1798c,-10.56176526
SMU_1799,-1
SMU_18,
SMU_180,-1.752531918
SMU_1800c,-0.522102477
SMU_1801c,-0.321928095
SMU_1802c,
SMU_1803c,-2.088918775
SMU_1804c,-3.116569093
SMU_1805,-1.855108054
SMU_1806,-2.193762436
SMU_1807c,-1.895056842
SMU_1808c,-1.119581616
SMU_1809,-1.856237791
SMU_181,-7.703903573
SMU_1810,-1.997704085
SMU_1811,-2.514708149
SMU_1812,-2.447036869
SMU_1813,-2.383080733
SMU_1814,-2.577348521
SMU_1815,-2.377232743
SMU_1816c,-3.696685631
SMU_1817c,-4.140260318
SMU_1818c,-3.721760723
SMU_1819,-6.06608919
SMU_182,-2.340863943
SMU_1820c,-1.152003093
SMU_1821c,
SMU_1822,-8.909893084
SMU_1823,-1.574410928
SMU_1824c,-1.206480416
SMU_1826,-2.470927257
SMU_1827,-2.141221728
SMU_1828,-2.439393865
SMU_183,-1.906034868
SMU_1830c,-3.22683424
SMU_1831,-1.698995398
SMU_1832,-1.836628652
SMU_1833,-7.098616999
SMU_1834,-1.584962501
SMU_1835,-2.753750178
SMU_1836,
SMU_1837,0
SMU_1838,-2.979822118
SMU_1839,-2.449530327
SMU_184,-1.280826423
